timestamp,calories
2025-01-12 06:00:00,3.8
2025-01-12 06:01:00,7.6
2025-01-12 06:02:00,11.4
2025-01-12 06:03:00,15.2
2025-01-12 06:04:00,19.0
2025-01-12 06:05:00,22.8
2025-01-12 06:06:00,26.6
2025-01-12 06:07:00,30.4
2025-01-12 06:08:00,34.2
2025-01-12 06:09:00,38.0
2025-01-12 06:10:00,41.8
2025-01-12 06:11:00,45.6
2025-01-12 06:12:00,49.4
2025-01-12 06:13:00,53.2
2025-01-12 06:14:00,57.0
2025-01-12 06:15:00,60.8
2025-01-12 06:16:00,64.6
2025-01-12 06:17:00,68.4
2025-01-12 06:18:00,72.2
2025-01-12 06:19:00,76.0
2025-01-12 06:20:00,79.8
2025-01-12 06:21:00,83.6
2025-01-12 06:22:00,87.4
2025-01-12 06:23:00,91.2
2025-01-12 06:24:00,95.0
2025-01-12 06:25:00,98.8
2025-01-12 06:26:00,102.6
2025-01-12 06:27:00,106.4
2025-01-12 06:28:00,110.2
2025-01-12 06:29:00,114.0
2025-01-12 06:30:00,117.8
2025-01-12 06:31:00,121.6
2025-01-12 06:32:00,125.4
2025-01-12 06:33:00,129.2
2025-01-12 06:34:00,133.0
2025-01-12 06:35:00,136.8
2025-01-12 06:36:00,140.6
2025-01-12 06:37:00,144.4
2025-01-12 06:38:00,148.2
2025-01-12 06:39:00,152.0
2025-01-12 06:40:00,155.8
2025-01-12 06:41:00,159.6
2025-01-12 06:42:00,163.4
2025-01-12 06:43:00,167.2
2025-01-12 06:44:00,171.0
2025-01-12 06:45:00,174.8
2025-01-12 06:46:00,178.6
2025-01-12 06:47:00,182.4
2025-01-12 06:48:00,186.2
2025-01-12 06:49:00,190.0
2025-01-12 06:50:00,193.8
2025-01-12 06:51:00,197.6
2025-01-12 06:52:00,201.4
2025-01-12 06:53:00,205.2
2025-01-12 06:54:00,209.0
2025-01-12 06:55:00,212.8
2025-01-12 06:56:00,216.6
2025-01-12 06:57:00,220.4
2025-01-12 06:58:00,224.2
2025-01-12 06:59:00,228.0
2025-01-12 07:00:00,231.8
