timestamp,steps
2025-01-12 05:059:00,0
2025-01-12 06:00:00,100
2025-01-12 06:00:10,200
2025-01-12 06:00:20,300
2025-01-12 06:00:30,400
2025-01-12 06:00:40,500
2025-01-12 06:00:50,600
2025-01-12 06:01:00,700
2025-01-12 06:01:10,800
2025-01-12 06:01:20,900
2025-01-12 06:01:30,1000
2025-01-12 06:01:40,1100
2025-01-12 06:01:50,1200
2025-01-12 06:02:00,1300
2025-01-12 06:02:10,1400
2025-01-12 06:02:20,1500
2025-01-12 06:02:30,1600
2025-01-12 06:02:40,1700
2025-01-12 06:02:50,1800
2025-01-12 06:03:00,1900
2025-01-12 06:03:10,2000
2025-01-12 06:03:20,2100
2025-01-12 06:03:30,2200
2025-01-12 06:03:40,2300
2025-01-12 06:03:50,2400
2025-01-12 06:04:00,2500
2025-01-12 06:04:10,2600
2025-01-12 06:04:20,2700
2025-01-12 06:04:30,2800
2025-01-12 06:04:40,2900
2025-01-12 06:04:50,3000
2025-01-12 06:05:00,3100
2025-01-12 06:05:10,3200
2025-01-12 06:05:20,3300
2025-01-12 06:05:30,3400
2025-01-12 06:05:40,3500
2025-01-12 06:05:50,3600
2025-01-12 06:06:00,3700
2025-01-12 06:06:10,3800
2025-01-12 06:06:20,3900
2025-01-12 06:06:30,4000
2025-01-12 06:06:40,4100
2025-01-12 06:06:50,4200
2025-01-12 06:07:00,4300
2025-01-12 06:07:10,4400
2025-01-12 06:07:20,4500
2025-01-12 06:07:30,4600
2025-01-12 06:07:40,4700
2025-01-12 06:07:50,4800
2025-01-12 06:08:00,4900
2025-01-12 06:08:10,5000
2025-01-12 06:08:20,5100
2025-01-12 06:08:30,5200
2025-01-12 06:08:40,5300
2025-01-12 06:08:50,5400
2025-01-12 06:09:00,5500
2025-01-12 06:09:10,5600
2025-01-12 06:09:20,5700
2025-01-12 06:09:30,5800
2025-01-12 06:09:40,5900
2025-01-12 06:09:50,6000
2025-01-12 06:10:00,6100
2025-01-12 06:10:10,6200
2025-01-12 06:10:20,6300
2025-01-12 06:10:30,6400
2025-01-12 06:10:40,6500
2025-01-12 06:10:50,6600
2025-01-12 06:11:00,6700
2025-01-12 06:11:10,6800
2025-01-12 06:11:20,6900
2025-01-12 06:11:30,7000
2025-01-12 06:11:40,7100
2025-01-12 06:11:50,7200
2025-01-12 06:12:00,7300
2025-01-12 06:12:10,7400
2025-01-12 06:12:20,7500
2025-01-12 06:12:30,7600
2025-01-12 06:12:40,7700
2025-01-12 06:12:50,7800
2025-01-12 06:13:00,7900
2025-01-12 06:13:10,8000
2025-01-12 06:13:20,8100
2025-01-12 06:13:30,8200
2025-01-12 06:13:40,8300
2025-01-12 06:13:50,8400
2025-01-12 06:14:00,8500
2025-01-12 06:14:10,8600
2025-01-12 06:14:20,8700
2025-01-12 06:14:30,8800
2025-01-12 06:14:40,8900
2025-01-12 06:14:50,9000
2025-01-12 06:15:00,9100
2025-01-12 06:15:10,9200
2025-01-12 06:15:20,9300
2025-01-12 06:15:30,9400
2025-01-12 06:15:40,9500
2025-01-12 06:15:50,9600
2025-01-12 06:16:00,9700
2025-01-12 06:16:10,9800
2025-01-12 06:16:20,9900
2025-01-12 06:16:30,10000
2025-01-12 06:16:40,10100
2025-01-12 06:16:50,10200
2025-01-12 06:17:00,10300
2025-01-12 06:17:10,10400
2025-01-12 06:17:20,10500
2025-01-12 06:17:30,10600
2025-01-12 06:17:40,10700
2025-01-12 06:17:50,10800
2025-01-12 06:18:00,10900
2025-01-12 06:18:10,11000
2025-01-12 06:18:20,11100
2025-01-12 06:18:30,11200
2025-01-12 06:18:40,11300
2025-01-12 06:18:50,11400
2025-01-12 06:19:00,11500
2025-01-12 06:19:10,11600
2025-01-12 06:19:20,11700
2025-01-12 06:19:30,11800
2025-01-12 06:19:40,11900
2025-01-12 06:19:50,12000
2025-01-12 06:20:00,12100
2025-01-12 06:20:10,12200
2025-01-12 06:20:20,12300
2025-01-12 06:20:30,12400
2025-01-12 06:20:40,12500
2025-01-12 06:20:50,12600
2025-01-12 06:21:00,12700
2025-01-12 06:21:10,12800
2025-01-12 06:21:20,12900
2025-01-12 06:21:30,13000
2025-01-12 06:21:40,13100
2025-01-12 06:21:50,13200
2025-01-12 06:22:00,13300
2025-01-12 06:22:10,13400
2025-01-12 06:22:20,13500
2025-01-12 06:22:30,13600
2025-01-12 06:22:40,13700
2025-01-12 06:22:50,13800
2025-01-12 06:23:00,13900
2025-01-12 06:23:10,14000
2025-01-12 06:23:20,14100
2025-01-12 06:23:30,14200
2025-01-12 06:23:40,14300
2025-01-12 06:23:50,14400
2025-01-12 06:24:00,14500
2025-01-12 06:24:10,14600
2025-01-12 06:24:20,14700
2025-01-12 06:24:30,14800
2025-01-12 06:24:40,14900
2025-01-12 06:24:50,15000
2025-01-12 06:25:00,15100
2025-01-12 06:25:10,15200
2025-01-12 06:25:20,15300
2025-01-12 06:25:30,15400
2025-01-12 06:25:40,15500
2025-01-12 06:25:50,15600
2025-01-12 06:26:00,15700
2025-01-12 06:26:10,15800
